Adresse,Prix,Ville,Région,Chambres,Salles_de_bain,Salles_d_eau,Étages,Aire_habitable,Taille_terrain,Taxes_municipales,Taxes_scolaires,Électricité,Assurances
"103-1694, rue de l'Estran",399999,St-Nicolas,Québec Rive-Sud (Lévis),2.0,1.0,1.0,1.0,1383.0,,298700.0,27800.0,,
"1544, chemin du Lac",630000,St-Félicien,Saguenay-Lac-Saint-Jean,3.0,1.0,1.0,2.0,1900.0,30000.0,550000.0,70000.0,340000.0,
"101-6290, boulevard Chevrier",365000,Brossard,Montérégie (Rive-Sud Montréal),2.0,1.0,1.0,1.0,,,179900.0,22000.0,91500.0,
"111, rue Louis-Vadeboncoeur",599999,St-Charles-Borromée,Lanaudière,3.0,1.0,1.0,1.0,1216.0,9911.0,217600.0,24000.0,392500.0,
"461, rue Pierre-Villeray",566000,Ste-Rose,Laval,2.0,1.0,1.0,2.0,,,314469.0,35123.0,21000.0,88618.0
"509, rue du Pain de Sucre",1199000,Mont-St-Hilaire,Montérégie (Rive-Sud Montréal),4.0,2.0,1.0,2.0,2472.0,,460534.0,54112.0,188352.0,107900.0
"7115, avenue Germain",329000,Charlesbourg,Québec Rive-Nord,5.0,2.0,,2.0,2200.0,790.0,262300.0,21900.0,210000.0,160000.0
"5121, rue Troyat",465000,Laval-Ouest,Laval,4.0,2.0,,2.0,1425.0,,211237.0,21089.0,105716.0,248900.0
"30, Route 122",585000,Ste-Clotilde-De-Horton,Centre-du-Québec,,,,,,41176.0,231800.0,16374.0,300000.0,500000.0
"3361, avenue Bourassa",699900,Boisbriand,Laurentides,2.0,1.0,1.0,1.0,1209.0,5997.0,311998.0,31683.0,345000.0,127800.0
"1-2-3-146, rue de l'Atmosphère",815000,Gatineau (Hull),Outaouais,6.0,3.0,,,,,574070.0,44066.0,,212223.0
"5285, boulevard Langelier",869900,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,6.0,2.0,,1.0,1100.0,,394105.0,47395.0,,
"123-309, rue de Carmel",219000,Repentigny (Repentigny),Lanaudière,1.0,1.0,1.0,2.0,545.0,1502.0,150000.0,10000.0,50000.0,
"2514, rue des Équinoxes",815000,Saint-Laurent,Montréal / l'Île,3.0,2.0,,2.0,1818.0,,414987.0,50698.0,127000.0,63192.0
Rue du Geai-Bleu - Modèle Shanghai - Par Construction Briand,699900,St-Jérôme (St-Jérôme),Laurentides,3.0,2.0,,1.0,1083.0,16000.0,,,,
"194, rue Lasalle",519900,St-Constant,Montérégie (Rive-Sud Montréal),3.0,2.0,1.0,2.0,1285.0,,317850.0,28600.0,180000.0,
"1726, rue de l'Orée-des-Champs",310000,Jonquière (Arvida),Saguenay-Lac-Saint-Jean,3.0,1.0,2.0,2.0,864.0,4500.0,293800.0,19400.0,105300.0,
"86, Boul. Lacombe",699900,Repentigny (Le Gardeur),Lanaudière,4.0,2.0,,1.0,950.0,19623.0,370300.0,28000.0,250000.0,
"467, 3e Rang Est",1399000,St-Joachim-De-Shefford,Estrie,3.0,,,,,,213889.0,30800.0,,
"201-1690, rue de l'Estran",385000,St-Nicolas,Québec Rive-Sud (Lévis),2.0,1.0,,1.0,1413.0,440740.0,275000.0,24900.0,81600.0,36000.0
"616, rue Hector-Fabre",369500,Lévis,Québec Rive-Sud (Lévis),3.0,2.0,1.0,2.0,993.0,,263260.0,23473.0,220000.0,
"7320, rue des Grèbes",295000,Charny,Québec Rive-Sud (Lévis),3.0,1.0,1.0,2.0,,,227000.0,29400.0,127200.0,85600.0
"306, avenue Bonne Entente",249000,Ste-Marie,Chaudière-Appalaches,3.0,2.0,,1.0,1120.0,,252794.0,12988.0,70775.0,75000.0
Développement Cantin - Par Construction Mario Dion,245000,Pont-Rouge,Portneuf,3.0,1.0,,1.0,,4225.0,,,,
"9, rue des Cépages- Projet domiciliaire Mont des Cépages - Par Habitation Mégatech",750000,St-Hippolyte,Laurentides,3.0,2.0,1.0,2.0,,43000.0,,,,
"116, rue Bourgeau Nord",444900,Gatineau (Aylmer),Outaouais,4.0,1.0,1.0,2.0,1400.0,,263626.0,19425.0,,
"5898, rue des Jacinthes",348000,Charlesbourg,Québec Rive-Nord,4.0,2.0,,2.0,1140.0,5931.0,247800.0,20753.0,180000.0,135000.0
"5250, rue de Cherbourg",494000,Trois-Rivières (Trois-Rivières-Ouest),Mauricie,4.0,2.0,1.0,2.0,2000.0,6300.0,435000.0,28000.0,430000.0,130000.0
"1941, chemin du Plateau Nord",234000,La Baie,Saguenay-Lac-Saint-Jean,4.0,2.0,1.0,1.0,,8000.0,,,,
"101-275, chemin des Grappes",349900,Piedmont,Laurentides,2.0,1.0,1.0,3.0,1000.0,,179628.0,17212.0,167200.0,46700.0
"409-8065, boulevard du Saint-Laurent",290000,Brossard,Montérégie (Rive-Sud Montréal),1.0,1.0,,1.0,,,103965.0,14677.0,65124.0,35316.0
"201-877, rue de la Marée-Haute",238000,Saint-Roch,Québec Rive-Nord,2.0,1.0,,1.0,900.0,,200108.0,14916.0,,60322.0
"302-1545, rue de l'Église",448000,Saint-Laurent,Montréal / l'Île,2.0,2.0,,1.0,1200.0,,235700.0,27700.0,,
"756, rue de la Soeur-Marie-Rose",359000,Terrebonne (Lachenaie),Lanaudière,2.0,1.0,,1.0,1194.0,,255500.0,20879.0,,
"140, rue Charles-Aubertin",564000,Boucherville,Montérégie (Rive-Sud Montréal),4.0,2.0,,1.0,,,263200.0,88700.0,202200.0,108000.0
"2287, boulevard des Pins",339900,Ste-Marthe-Sur-Le-Lac,Laurentides,2.0,1.0,,1.0,1050.0,,171300.0,15700.0,125000.0,
"2377-2379, boulevard Mercure",396900,Drummondville (Drummondville),Centre-du-Québec,4.0,2.0,,,,7000.0,,,,
"339-343, rue St-Viateur",565000,Joliette,Lanaudière,3.0,2.0,1.0,,,4826.0,340300.0,30800.0,,192400.0
