Adresse,Prix,Ville,Région,Chambres,Salles_de_bain,Salles_d_eau,Étages,Aire_habitable,Taille_terrain,Taxes_municipales,Taxes_scolaires,Électricité,Assurances
"1, rue Mélanie",349000,Grenville,Laurentides,4.0,1.0,1.0,1.0,504.0,,249441.0,17326.0,18916.0,
"3031, rue Charles-Lacoste",574900,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),4.0,2.0,1.0,2.0,1526.0,,364876.0,31441.0,93101.0,
"1172, rue Mathieu",715000,St-Jérôme (Bellefeuille),Laurentides,4.0,2.0,1.0,2.0,2325.0,9020.0,365200.0,29500.0,,
"864, rue Deslauriers",425000,La Prairie,Montérégie (Rive-Sud Montréal),3.0,1.0,,1.0,1232.0,6402.0,210771.0,22761.0,,70200.0
"2360, rue des Cèdres",388000,Sorel-Tracy,Montérégie (Rive-Sud Montréal),3.0,2.0,,1.0,1100.0,5500.0,268700.0,19000.0,210000.0,
"30, rue Dante",1395000,Rosemont / La Petite Patrie,Montréal / l'Île,1.0,1.0,,,,2500.0,594191.0,74772.0,,446900.0
chemin de Sainte-Marguerite,125000,Ste-Marguerite-Du-Lac-Masson,Laurentides,,,,,,42560.0,,,,
"2639-2641-2643, rue la Jonquière",373000,Trois-Rivières (Trois-Rivières),Mauricie,7.0,3.0,,,,,394900.0,24400.0,,180000.0
"4495, rue Sherbrooke",597750,Lachine,Montréal / l'Île,4.0,1.0,,2.0,1209.0,,209900.0,35100.0,64900.0,67000.0
"1606, rue Stanley",565000,Ste-Foy,Québec Rive-Nord,4.0,2.0,,1.0,,,400900.0,60000.0,60000.0,
"1350, chemin des Patriotes Nord",960000,Mont-St-Hilaire,Montérégie (Rive-Sud Montréal),4.0,2.0,1.0,2.0,2697.0,55234.0,455000.0,30000.0,493200.0,
"127, rue Longpré",415000,Repentigny (Le Gardeur),Lanaudière,3.0,1.0,1.0,1.0,,,274595.0,23241.0,110000.0,170000.0
"3257, avenue des Églises",249000,Charny,Québec Rive-Sud (Lévis),3.0,1.0,,2.0,,,182000.0,13600.0,60000.0,93400.0
Domaine Iluma - Modèle Ada-4 - Par Belvedair,799000,Arundel,Laurentides,4.0,2.0,1.0,1.0,1772.0,52420.0,626255.0,84215.0,,
"2620, chemin du Parc - Par les Entreprises Lachance",483000,Orford,Estrie,1.0,1.0,,1.0,,,,,,
"105, chemin du Boisé - Par Terrain Dev Immobilier inc.",741955,Lac-Beauport,Québec Rive-Nord,3.0,2.0,1.0,2.0,,,,,,
"2081, rue Megantic",469900,Sherbrooke (Jacques-Cartier),Estrie,4.0,2.0,,1.0,,,321251.0,25761.0,,
"85, rue des Matricaires",324000,Ste-Brigitte-De-Laval,Québec Rive-Nord,3.0,1.0,1.0,2.0,1280.0,5598.0,306006.0,20634.0,164400.0,
"201-537, boulevard Jacques-Cartier Est",255000,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),1.0,1.0,,3.0,,,115651.0,10673.0,37560.0,
Rue Pierre-Gauvreau - Modèle Louisiana,394600,Cowansville,Estrie,3.0,1.0,1.0,2.0,1455.0,,,,,
Cité du Boisé Dion,"539160,69",Boisbriand,Laurentides,3.0,1.0,1.0,2.0,,,,,,
"5137-5141, boulevard Lévesque Ouest",1190000,Chomedey,Laval,2.0,1.0,,,,,693600.0,71000.0,,274200.0
"327, rue des Merles",485000,Boucherville,Montérégie (Rive-Sud Montréal),3.0,1.0,1.0,2.0,1050.0,5306.0,228600.0,30800.0,240000.0,
"6810, chemin de Stratford",295000,Disraeli,Chaudière-Appalaches,3.0,2.0,,1.0,1092.0,,112900.0,13800.0,240000.0,
"751, boulevard du Loiret",368000,Charlesbourg,Québec Rive-Nord,3.0,2.0,,2.0,1600.0,,298475.0,26146.0,230155.0,
"1199, rue Bernard",819000,Prévost,Laurentides,3.0,2.0,1.0,2.0,1529.0,73000.0,301700.0,33400.0,480000.0,117000.0
"102-2045, avenue Pratte",239000,St-Hyacinthe,Montérégie (Rive-Sud Montréal),2.0,1.0,,1.0,,,128400.0,42500.0,120000.0,48000.0
"902, rue Hudson",470000,McMasterville,Montérégie (Rive-Sud Montréal),4.0,2.0,,1.0,1040.0,7207.0,299600.0,29800.0,126800.0,
"1438, rue Mirka",375000,Sherbrooke (Rock Forest),Estrie,4.0,1.0,,1.0,768.0,6500.0,225319.0,15600.0,,
"105-2100, avenue Aird",519000,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,3.0,1.0,,1.0,,,301646.0,35359.0,79200.0,38150.0
"310-1400, rue Gaston-Verroneau",359500,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),1.0,1.0,,1.0,954.0,,224400.0,22200.0,52200.0,29600.0
"126, chemin Lahaie",179000,St-Tite,Mauricie,2.0,1.0,,1.0,720.0,44124.0,164300.0,10000.0,,
", boulevard Pierre-Laporte",165000,Brigham,Estrie,,,,,,53819.0,,,,
"145, 67e Rue Ouest",495000,Charlesbourg,Québec Rive-Nord,3.0,1.0,,1.0,1278.0,6000.0,344000.0,26000.0,450000.0,
"495, rue de l'Aqueduc",429000,Saint-Sauveur,Québec Rive-Nord,2.0,1.0,1.0,3.0,1046.0,1.0,300000.0,40000.0,103500.0,
"326, rue Chagnon",669000,Gatineau (Aylmer),Outaouais,3.0,1.0,1.0,2.0,1804.0,6107.0,,,,
"675, rue Principale",675000,Petite-Rivière-St-François,Charlevoix,3.0,2.0,1.0,1.0,1216.0,13100.0,,,,
"103-80, rue Hubert-Aquin",435000,Blainville,Laurentides,2.0,1.0,,1.0,1235.0,2591.0,218100.0,24000.0,60000.0,24000.0
"235, rue Lefebvre",194500,Drummondville (Drummondville),Centre-du-Québec,3.0,1.0,,1.0,912.0,5000.0,132601.0,8833.0,,
"116, rue Moreau",325000,St-Apollinaire,Chaudière-Appalaches,5.0,2.0,1.0,2.0,1456.0,4359.0,221413.0,21297.0,193728.0,
"1285, rue Estiembre",391000,St-Émile,Québec Rive-Nord,4.0,2.0,1.0,1.0,,,278400.0,25900.0,120000.0,10900.0
"17325, rue Comeau",687500,Bécancour (St-Grégoire),Centre-du-Québec,5.0,2.0,1.0,2.0,3200.0,,480000.0,38300.0,300000.0,
"5371, rue de Lanaudière",330000,Le Plateau-Mont-Royal,Montréal / l'Île,1.0,1.0,,3.0,625.0,,106700.0,13600.0,,79700.0
164-166-166A rue Champlain,1150000,Gatineau (Hull),Outaouais,8.0,4.0,,,,,538600.0,40900.0,127000.0,
"306, rue d'Andromède",534900,Gatineau (Aylmer),Outaouais,4.0,2.0,1.0,2.0,1545.0,,335539.0,20000.0,190000.0,130000.0
"12, chemin des Nénuphars - Par Construction Gilbert et fils","353804,80",Lac-Etchemin,Chaudière-Appalaches,3.0,1.0,,1.0,1000.0,,120000.0,,,60000.0
"14931, boulevard Valcartier",290000,Loretteville,Québec Rive-Nord,3.0,2.0,2.0,2.0,,6349.0,236000.0,19592.0,146000.0,
"68, rue Arthur-Graveline",985000,Gatineau (Aylmer),Outaouais,4.0,2.0,1.0,2.0,1820.0,,,,,
"4000, rue Drolet",999000,Le Plateau-Mont-Royal,Montréal / l'Île,3.0,2.0,,2.0,2000.0,,593900.0,75300.0,150300.0,
"206-4994, rue Lionel-Groulx",495000,St-Augustin-De-Desmaures,Québec Rive-Nord,3.0,1.0,,1.0,1763.0,,453579.0,35520.0,112890.0,
"1726, rue St-Georges",539000,Longueuil (LeMoyne),Montérégie (Rive-Sud Montréal),,,,,,,316600.0,33100.0,,
"598-604, rue O'Bready",950000,Sherbrooke (Jacques-Cartier),Estrie,10.0,6.0,,,,13058.0,749098.0,59812.0,,284599.0
"3719, avenue Laval",749000,Le Plateau-Mont-Royal,Montréal / l'Île,2.0,1.0,1.0,2.0,1088.0,,323800.0,39700.0,120000.0,43000.0
chemin Larose,250000,Montcalm,Laurentides,,,,,,,,,,
"255, chemin Jacques-Cartier Sud",620000,Tewkesbury,Québec Rive-Nord,2.0,2.0,,2.0,1700.0,145875.0,229873.0,31334.0,139513.0,
"3-880, rue Bourdages",265000,Vanier,Québec Rive-Nord,2.0,1.0,1.0,2.0,1125.0,,211800.0,16500.0,100000.0,
"2330, rang du Bord de l'Eau",575000,Ste-Clotilde-De-Horton,Centre-du-Québec,3.0,2.0,1.0,2.0,1568.0,40410.0,203300.0,20600.0,380000.0,140000.0
"105-56, rue de Ronsard",409999,St-Constant,Montérégie (Rive-Sud Montréal),2.0,1.0,1.0,2.0,1050.0,,107500.0,26800.0,84000.0,42000.0
"162, chemin du Ruisseau-des-Noyers",699000,St-Jean-sur-Richelieu (L'Acadie),Montérégie (Rive-Sud Montréal),4.0,1.0,3.0,1.0,,,330000.0,42655.0,,
"1-2-3-111, rue Principale",225000,St-Lazare-De-Bellechasse,Chaudière-Appalaches,5.0,3.0,3.0,,,,296970.0,16915.0,,
"52, rue des Percherons",469000,Gatineau (Gatineau),Outaouais,3.0,2.0,,1.0,940.0,7000.0,,,,
"138-140,  rue Fer à Cheval",354000,Huberdeau,Laurentides,2.0,1.0,,1.0,800.0,27000.0,230000.0,11600.0,120000.0,90000.0
"27, rue de la Calcite",649900,Boischatel,Québec Rive-Nord,4.0,1.0,,2.0,2116.0,7000.0,427700.0,40100.0,324000.0,
"133, rue du Petit-Tyrol",699000,Ste-Agathe-Des-Monts,Laurentides,5.0,3.0,1.0,2.0,,,402700.0,32900.0,331100.0,220700.0
"319, rue Panoramique",209000,Chicoutimi (Chicoutimi),Saguenay-Lac-Saint-Jean,3.0,1.0,,1.0,,,225400.0,13400.0,132000.0,
"117, route de la Grande-Pointe",395000,Ste-Genevieve-De-Batiscan,Mauricie,3.0,1.0,1.0,1.0,1121.0,30044.0,277756.0,25000.0,,
"32, rue Lajoie",334000,ND-Des-Neiges,Bas-Saint-Laurent,3.0,1.0,1.0,2.0,1665.0,11987.0,327971.0,17531.0,141300.0,
"181, rue de Mère-d'Youville",739000,Boucherville,Montérégie (Rive-Sud Montréal),4.0,2.0,,1.0,,7548.0,254160.0,33559.0,188800.0,
"96, rue Saint Antoine",449000,Ste-Agathe-Des-Monts,Laurentides,3.0,2.0,1.0,2.0,1655.0,,38402.0,15365.0,290000.0,
"111-2040, boulevard Rosemont - Lumina condo",502505,Rosemont / La Petite Patrie,Montréal / l'Île,2.0,2.0,,1.0,1122.0,,,,,
"4, rue des Cèdres",650000,St-Joachim-De-Shefford,Estrie,4.0,2.0,1.0,2.0,1680.0,46575.0,185692.0,,288500.0,150000.0
chemin Gosford - Par Construction C.R.D Inc.,344600,Shannon,Québec Rive-Nord,3.0,1.0,1.0,2.0,,10700.0,,,,
"500, 20e Avenue Nord",487000,St-Jérôme (St-Antoine),Laurentides,5.0,1.0,1.0,1.0,1113.0,7995.0,225220.0,18793.0,,
"2-1893, Avenue De Lorimier",419000,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,2.0,1.0,,1.0,871.0,,210600.0,26100.0,,
"2510, avenue Camille-Dreyfus",485000,Drummondville (Drummondville),Centre-du-Québec,4.0,1.0,1.0,1.0,1094.0,6633.0,260000.0,23600.0,108000.0,62000.0
"101-1681, rue de l'Hortensia",299000,Terrebonne (La Plaine),Lanaudière,2.0,1.0,,1.0,1025.0,,186567.0,13600.0,113782.0,42000.0
"138, rue de la Rivière",699999,Bromont,Estrie,3.0,1.0,,1.0,1337.0,61397.0,293700.0,34100.0,,
"6219, rue Florent",355000,Sherbrooke (Rock Forest),Estrie,3.0,2.0,,1.0,,,271962.0,21681.0,130000.0,77820.0
"6431, rue Lajeunesse",179000,ND-De-Lourdes,Lanaudière,1.0,1.0,,1.0,,10000.0,53581.0,4222.0,,65000.0
"1007-5500, place de Jumonville",699000,Rosemont / La Petite Patrie,Montréal / l'Île,2.0,2.0,,1.0,1357.0,,401819.0,49736.0,,
"19, rue Jean",450000,St-Jean-sur-Richelieu (St-Luc),Montérégie (Rive-Sud Montréal),,,,,,10769.0,,,,
"510-2855, rue Le Noblet",497500,Ste-Foy,Québec Rive-Nord,2.0,2.0,,1.0,1200.0,,386243.0,38682.0,78000.0,
"203-300, rue des Manoirs",375000,Deux-Montagnes,Laurentides,2.0,1.0,,4.0,916.0,,285980.0,21163.0,67440.0,32148.0
"167, 2e rang Ouest",499000,St-François-Xavier-De-Brompton,Estrie,4.0,1.0,1.0,2.0,2793.0,34412.0,243373.0,28136.0,360000.0,
"2685, rue Dolbeau",274500,Jonquière (Arvida),Saguenay-Lac-Saint-Jean,2.0,2.0,,1.0,850.0,,245214.0,14900.0,180000.0,100000.0
"317-170, rue Rioux",429000,Griffintown,Montréal / l'Île,1.0,1.0,,1.0,,,238890.0,28160.0,40147.0,51121.0
"45, Montée des Peupliers (Poplar Hill)",199000,La Pêche (Wakefield),Outaouais,,,,,,,33259.0,791.0,,
"1434, rue du Bourgeon",565000,St-Nicolas,Québec Rive-Sud (Lévis),5.0,4.0,2.0,2.0,2795.0,47000.0,353132.0,36454.0,250000.0,
"2-1006, boulevard Saint-René Ouest",274900,Gatineau (Gatineau),Outaouais,2.0,1.0,,1.0,1000.0,,174237.0,11476.0,72000.0,
"311-2040, boulevard Rosemont",463000,Rosemont / La Petite Patrie,Montréal / l'Île,1.0,1.0,,1.0,656.0,,220000.0,40000.0,90000.0,
"63, rue Laforest",625000,Repentigny (Repentigny),Lanaudière,5.0,2.0,,1.0,1450.0,7735.0,312068.0,29304.0,188716.0,127203.0
"2633, chemin du Tour-du-Lac-Tiberiade",580000,Rivière-Rouge (Ste-Véronique),Laurentides,2.0,1.0,,2.0,864.0,20903.0,182436.0,12001.0,,
"309-110, avenue du Golf",334900,La Prairie,Montérégie (Rive-Sud Montréal),1.0,1.0,,4.0,636.0,,152799.0,13609.0,,
"301-1288, rue Marius-Barbeau",215000,Lévis,Québec Rive-Sud (Lévis),2.0,1.0,,1.0,1100.0,,182734.0,13762.0,87000.0,
"65, rue du Belvédère - Par Accès Habitation",399000,St-Hippolyte,Laurentides,2.0,1.0,,1.0,1006.0,,,,,
"504-209, boulevard Henri-Bourassa Est",1149000,Ahuntsic / Cartierville,Montréal / l'Île,3.0,2.0,,1.0,1595.0,,547564.0,68895.0,110000.0,115400.0
"1629, rue Nielsen",695000,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),4.0,2.0,1.0,3.0,,,351472.0,54127.0,327628.0,148796.0
"5, 4e Avenue Est",136000,Macamic,Abitibi-Témiscamingue,3.0,1.0,,3.0,,7000.0,177492.0,4176.0,266000.0,
"1861, rue Ouellette",785000,Terrebonne (La Plaine),Lanaudière,4.0,2.0,1.0,2.0,1895.0,22000.0,390000.0,34200.0,,
"6504, rue Claudel",452000,Brossard,Montérégie (Rive-Sud Montréal),3.0,2.0,,2.0,,,207961.0,26429.0,96000.0,
chemin du Golf Ouest,150000,Drummondville (Drummondville),Centre-du-Québec,,,,,,12917.0,,,,
"295, route Marie-Victorin",364500,St-Nicolas,Québec Rive-Sud (Lévis),2.0,2.0,,2.0,,12000.0,255600.0,23500.0,,96000.0
"2-6957, rue de Lanaudière",499000,Rosemont / La Petite Patrie,Montréal / l'Île,3.0,1.0,,2.0,900.0,,100000.0,20000.0,,
"101-1130, rue des Rigoles",290000,Val-Bélair,Québec Rive-Nord,2.0,1.0,,1.0,1082.0,4215.0,265081.0,22699.0,98000.0,
avenue Paul-Henri,40000,Montmagny,Chaudière-Appalaches,,,,,,,,,,
Modèle à construire - Par les Habitations André Lemaire,404490,Drummondville (Drummondville),Centre-du-Québec,2.0,1.0,,1.0,1050.0,5970.0,,,,
Modèle à construire - Par les Habitations André Lemaire,321670,Drummondville (Drummondville),Centre-du-Québec,2.0,1.0,,1.0,1040.0,4135.0,,,,
"160, rue du Curé-Charles-Lamoureux",509900,Ste-Hélène-De-Bagot,Montérégie (Rive-Sud Montréal),4.0,1.0,1.0,2.0,1410.0,8827.0,280000.0,23700.0,250000.0,160000.0
"38, rue Bélisle",383688,St-André-Avellin,Outaouais,4.0,2.0,,1.0,1060.0,,311296.0,19948.0,105000.0,8156.0
"6, rue du Belvédère",839900,Blainville,Laurentides,4.0,2.0,,1.0,2000.0,7488.0,339000.0,42300.0,348000.0,131200.0
"14, rue Marie-Pasquier",289500,Beaumont,Chaudière-Appalaches,3.0,2.0,1.0,2.0,1176.0,4650.0,262000.0,22700.0,151200.0,59000.0
"405, rue des Bégonias",749900,Ste-Catherine,Montérégie (Rive-Sud Montréal),4.0,2.0,1.0,2.0,,,426471.0,36915.0,,126000.0
"2660, rue Asselin",569000,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),3.0,1.0,1.0,2.0,1200.0,3629.0,264900.0,27700.0,160000.0,
"106-2308, avenue Chapdelaine",255000,Ste-Foy,Québec Rive-Nord,2.0,1.0,,1.0,900.0,,184236.0,31200.0,87500.0,
"4, rue des Chevaliers",550000,St-Jean-sur-Richelieu (St-Luc),Montérégie (Rive-Sud Montréal),3.0,1.0,1.0,2.0,,,275158.0,26563.0,154558.0,97572.0
"2720, avenue Royale",340000,St-Charles-De-Bellechasse,Chaudière-Appalaches,5.0,2.0,1.0,3.0,,,198800.0,64600.0,247000.0,
"1707, rang de la Rivière Sud",570000,St-Pie,Montérégie (Rive-Sud Montréal),4.0,2.0,1.0,2.0,1500.0,35796.0,203432.0,29972.0,150000.0,174000.0
"104, rue Ernest-Blouin",199000,Ste-Croix,Chaudière-Appalaches,3.0,2.0,,1.0,,,183100.0,12300.0,172800.0,
"306, montée du Lac Gravel",399900,Mont-St-Michel,Laurentides,2.0,1.0,,1.0,896.0,16490.0,185687.0,13971.0,110000.0,
"346, avenue Saint-Pierre",355000,St-Germain-De-Grantham,Centre-du-Québec,2.0,1.0,,1.0,1120.0,,180866.0,20525.0,,
"617, rue Laval",285000,Ste-Marie,Chaudière-Appalaches,3.0,1.0,1.0,1.0,864.0,6017.0,295500.0,30000.0,200000.0,72000.0
"861-865, rue principale",375000,Batiscan,Mauricie,5.0,3.0,,,,,289557.0,21726.0,279200.0,
"42, chemin de la Riviera",190000,L'Anse-St-Jean,Saguenay-Lac-Saint-Jean,2.0,1.0,,1.0,,6000.0,200000.0,8400.0,75000.0,26900.0
"294, chemin Philip-Toosey",549000,Stoneham,Québec Rive-Nord,5.0,2.0,1.0,1.0,1440.0,,275397.0,31188.0,147457.0,
"19, chemin du Lac",918750,Cantley,Outaouais,4.0,3.0,,2.0,1900.0,,475948.0,50343.0,323992.0,
"1-6010, boulevard Chevrier",350000,Brossard,Montérégie (Rive-Sud Montréal),2.0,1.0,,1.0,938.0,1361.0,164600.0,16900.0,110000.0,40000.0
"209-1190, rue Mackay",475000,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,2.0,1.0,1.0,2.0,457.0,,232500.0,39800.0,32400.0,29800.0
"1548, rue des Roitelets",300000,Chicoutimi (Chicoutimi),Saguenay-Lac-Saint-Jean,4.0,2.0,,1.0,,,314800.0,,,
"881, rue Lafontaine",365000,Pintendre,Québec Rive-Sud (Lévis),3.0,2.0,,1.0,936.0,9000.0,260000.0,24000.0,,
"12230, boulevard de la Rivière-des-Prairies",625000,Rivière des Prairies,Montréal / l'Île,4.0,2.0,,1.0,1380.0,5760.0,290207.0,32214.0,174706.0,
"8080-8080A-8082, rue Arthur-Peloquin",1199000,Saint-Léonard,Montréal / l'Île,7.0,3.0,,,,,530276.0,63307.0,170000.0,
"452, rue Notre-Dame E",374360,Alma,Saguenay-Lac-Saint-Jean,2.0,2.0,,3.0,,,327800.0,30000.0,300000.0,140000.0
"414-385, rue Saint-Martin",426000,Griffintown,Montréal / l'Île,1.0,1.0,,1.0,566.0,547.0,200000.0,50000.0,,
"565, carré du Plateau",585000,Trois-Rivières (Pointe-Du-Lac),Mauricie,3.0,1.0,1.0,1.0,4371.0,,515600.0,32200.0,240000.0,100000.0
"6, rue St-François",297900,Pont-Rouge,Portneuf,2.0,1.0,,1.0,,,,,,
"1, chemin du Ruisseau",89900,St-Donat,Lanaudière,,,,,,44089.0,,,,
"375, rue de la Rivière",369000,Ste-Catherine-De-Hatley,Estrie,2.0,1.0,,2.0,,,106664.0,16942.0,150000.0,120000.0
"29, rue du Moulin",169900,St-Basile-Le-Grand,Montérégie (Rive-Sud Montréal),2.0,1.0,,1.0,600.0,2500.0,100000.0,5700.0,120000.0,
"12, 135e avenue",269900,St-Hippolyte,Laurentides,1.0,1.0,,1.0,,,137891.0,12684.0,223200.0,148800.0
"561, chemin du Quartier-du-Cerf",189900,St-Côme,Lanaudière,,,,,,49088.0,,,,
"5093, rue Lapointe",584000,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),3.0,1.0,1.0,2.0,1260.0,3600.0,302900.0,31800.0,213900.0,
"755, rue Saint-Omer",325000,Lévis,Québec Rive-Sud (Lévis),2.0,1.0,,1.0,,,253174.0,22257.0,137204.0,114000.0
"387, chemin du Lac Capri",475000,St-Adolphe-D'Howard,Laurentides,2.0,1.0,,2.0,1472.0,,,,,
"1003-101, rue de la Rotonde",749000,L'Ile Des Soeurs,Montréal / l'Île,2.0,2.0,,1.0,,,365492.0,45576.0,45200.0,46900.0
"103, rue Dollard",329900,St-Lambert-De-Lauzon,Chaudière-Appalaches,4.0,1.0,1.0,2.0,1536.0,4440.0,261241.0,23819.0,205287.0,
"5000, chemin Harvey",775000,Labrecque,Saguenay-Lac-Saint-Jean,3.0,1.0,,2.0,3100.0,39600.0,428000.0,89382.0,280000.0,97000.0
"27, rue de la Belle-Rive",309000,Beauport,Québec Rive-Nord,2.0,1.0,,1.0,1125.0,5904.0,252900.0,21700.0,,
"5410, Route 138 Ouest",185000,Havre-St-Pierre,Côte-Nord,2.0,1.0,1.0,1.0,864.0,,67000.0,7800.0,57500.0,83300.0
"6408645, chemin de la Brise-Boisé du Lac Brompton",187000,Racine,Estrie,,,,,,,,,,
"586, chemin Jack Rabbit",699000,Piedmont,Laurentides,4.0,2.0,,2.0,1674.0,24979.0,293900.0,35300.0,,
"7055, chemin Marcil",795000,St-Sauveur,Laurentides,3.0,2.0,,1.0,1320.0,70000.0,,,,
Modèle Colbert - rue Altitude- Par Construction LaVerendrye,"435464,50",Val-Des-Monts,Outaouais,2.0,1.0,,1.0,1025.0,,,,,
"B-6, Rue de l'Altitude - Modèle Frontenac - Par Construction LaVérendrye","460378,97",Val-Des-Monts,Outaouais,3.0,1.0,1.0,2.0,1450.0,,,,,
rue Claude-Bouchard - Par Construction CRD,328700,Ste-Anne-de-Beaupré,Québec Rive-Nord,3.0,1.0,1.0,2.0,,,,,,
"2097, rue Sax",260000,St-Romuald,Québec Rive-Sud (Lévis),4.0,1.0,,2.0,2852.0,7694.0,230000.0,20000.0,250000.0,
"457, rue des Roseaux",2075000,Ste-Dorothée,Laval,3.0,3.0,1.0,3.0,3498.0,,780000.0,93400.0,560000.0,100000.0
"2110, rue Dickson",889000,Sillery,Québec Rive-Nord,4.0,2.0,1.0,1.0,2175.0,11799.0,622431.0,63317.0,409000.0,
", chemin du Lac Thurson",169000,Wentworth-Nord,Laurentides,,,,,,,,,,
"1525, rue du Flambeau",775000,St-Félicien,Saguenay-Lac-Saint-Jean,3.0,2.0,1.0,2.0,1626.0,876050.0,336700.0,25500.0,,
"159, boulevard Robert",649500,Granby,Estrie,5.0,2.0,1.0,2.0,2520.0,18000.0,270657.0,28433.0,,
"16430, avenue de la Concorde Sud",249000,St-Hyacinthe,Montérégie (Rive-Sud Montréal),2.0,1.0,,1.0,1150.0,,150741.0,10981.0,60000.0,70500.0
"108, rue Benoit",849900,Marieville,Montérégie (Rive-Sud Montréal),4.0,2.0,,1.0,1252.0,11550.0,488300.0,46700.0,264000.0,
"25, rue du Québec",379900,Ascot Corner,Estrie,4.0,2.0,,1.0,,15000.0,219435.0,19100.0,,
"411, 8e Concession",50000,Clarendon,Outaouais,,,,,,,,,,
"1368, rue Émilien-Rochette",318000,L'Ancienne-Lorette,Québec Rive-Nord,3.0,1.0,,2.0,,,271330.0,22696.0,219000.0,67798.0
"107-200, boulevard Marcel-Laurin",474800,Saint-Laurent,Montréal / l'Île,2.0,1.0,,1.0,674.0,195.0,,,,
"301-268, rue Arago Est",300000,Saint-Roch,Québec Rive-Nord,2.0,1.0,,1.0,1300.0,,278617.0,,100000.0,
"25, chemin Pritchard",105000,La Pêche (Wakefield),Outaouais,,,,,,,39701.0,911.0,,
"955, rang Saint-Charles",370000,Beauceville,Chaudière-Appalaches,5.0,1.0,,2.0,1250.0,,212112.0,14282.0,50000.0,
"277, rue Sheppard",409000,Sorel-Tracy,Montérégie (Rive-Sud Montréal),4.0,1.0,1.0,1.0,1200.0,7177.0,219292.0,18000.0,,
", chemin des Défricheurs",60000,La Minerve,Laurentides,,,,,,52000.0,32567.0,1771.0,,
"2-6633, 29e Avenue",329000,Rosemont / La Petite Patrie,Montréal / l'Île,2.0,1.0,,3.0,,,182500.0,21200.0,66000.0,
"34, rue Cardinal",449000,Beauharnois (Melocheville),Montérégie (Rive-Sud Montréal),3.0,2.0,,1.0,759.0,3552.0,,,,
"5-505, rue des Commissaires",435000,Trois-Rivières (Trois-Rivières),Mauricie,2.0,1.0,,1.0,1400.0,,253098.0,21661.0,108000.0,120000.0
"8657, rue Adolphe Rho",780000,Rivière des Prairies,Montréal / l'Île,4.0,2.0,1.0,2.0,,,403000.0,45500.0,,
"14-565, rue Saint-Alexandre",217000,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),1.0,1.0,,1.0,,,136442.0,13000.0,58500.0,
"935, rue des Caps",599900,Sherbrooke (Deauville),Estrie,4.0,1.0,1.0,2.0,,52362.0,335800.0,28900.0,174000.0,
"201, 4e Rang",395000,St-David-de-Falardeau,Saguenay-Lac-Saint-Jean,6.0,2.0,,2.0,1728.0,39396.0,,,,
"6613, rue Beaulieu",875000,Verdun,Montréal / l'Île,5.0,3.0,,,,,378083.0,46060.0,,
"8, chemin du Durbec",345000,Val-Brillant,Bas-Saint-Laurent,3.0,2.0,1.0,1.0,1640.0,,184400.0,12800.0,105400.0,116400.0
"29, rue de Vitré",1269000,Blainville,Laurentides,3.0,2.0,1.0,2.0,2600.0,,501862.0,66263.0,614500.0,
"15, chemin Dufresne",975000,Gatineau (Gatineau),Outaouais,3.0,2.0,,1.0,,,,,,
", boulevard Sainte-Anne",3,Rimouski (Pointe-Au-Père),Bas-Saint-Laurent,,,,,,,155318.0,5788.0,,
", boulevard Sainte-Anne",3,Rimouski (Pointe-Au-Père),Bas-Saint-Laurent,,,,,,,130047.0,4415.0,,
"106-5740, boulevard Marie-Victorin",519000,Brossard,Montérégie (Rive-Sud Montréal),2.0,1.0,,1.0,1200.0,,190000.0,28000.0,60000.0,48000.0
"49, rue Arthur-Croteau",699000,Gatineau (Aylmer),Outaouais,5.0,3.0,,1.0,1434.0,5545.0,276000.0,20500.0,300000.0,160800.0
"5049, rue Baldwin",474000,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,2.0,1.0,,1.0,1249.0,,198000.0,21300.0,162000.0,
"101-6320, rue St-Laurent",460000,Lévis,Québec Rive-Sud (Lévis),2.0,2.0,,1.0,1294.0,,361525.0,35324.0,123738.0,40500.0
"51-3945, route 337 Nord",69000,Ste-Julienne,Lanaudière,,,,,,3200.0,89555.0,4393.0,,
"15, rue de l'Équinoxe",459500,Gatineau (Hull),Outaouais,3.0,1.0,1.0,1.0,1150.0,3065.0,290000.0,27500.0,75000.0,100000.0
"200, rue Sainte-Catherine",190000,La Malbaie,Charlevoix,2.0,1.0,,,,,466940.0,10706.0,,
"51, rue du Commandant",674900,Blainville,Laurentides,3.0,1.0,1.0,2.0,1410.0,5974.0,283872.0,34799.0,240000.0,
